ID	Domain	Phylum	Class	Order	Family	Genus	Species	score	completeness	contamination	strain_heterogeneity	size	N50	cluster_members	FC1	FC2	FC3	MY1	MY2	MY3
Mx_All_36	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola dorei	75.25939965687779	96.01	5.45	80.0	4503152	19002	1	0.657938	4.0522933	0.5363915	6.2645664	2.2971394	4.431816
Mx_All_37	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella variicola	93.586394152298	96.77	1.27	73.08	5289367	29961	1	4.6142473	0	0	0	0	0
Mx_All_38	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__CAG-177	s__CAG-177 sp003514385	74.81273647855329	75.27	0.47	25.0	1490160	3552	1	2.1055815	0	0	0	0	0
Mx_All_39	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides stercoris	56.8743573576599	61.55	1.72	100.0	2575180	25628	1	0.31402028	0	0.23448831	0	3.3143356	0
Mx_All_4	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella sp937922435	53.217968453134596	51.42	0.0	0.0	1867345	3944	1	0	0	0	0	1.9047538	0
Mx_All_40	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__Agathobacter rectalis	81.60055581338307	92.7	3.07	76.92	2480853	6001	1	0	0	0	0	0	8.102833
Mx_All_41	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium longum	75.07990068182204	92.28	4.42	66.67	1928804	8057	1	0	0	0.2547648	6.05965	4.8308883	4.5791078
Mx_All_42	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__Desulfovibrio fairfieldensis	58.67053320331964	58.75	0.36	0.0	1486002	2761	1	0.8391014	0.96355176	0.5496069	0	0	0
Mx_All_43	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus parasanguinis	28.09052296419684	55.1	6.3	45.24	1242277	1909	1	0.3387646	0.19989389	1.4014816	0.2853621	0.072658405	0
Mx_All_44	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Fimenecus	s__Fimenecus sp000432435	42.86136945573247	62.52	4.43	18.18	2278382	2355	1	0	0	1.8513198	0	0	0
Mx_All_5	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Actinomycetales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium longum	76.24551032241642	89.75	3.32	30.77	1894429	14057	1	0	0	1.688598	2.9313092	1.3673294	0.82895267
Mx_All_6	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Clostridium_AQ	s__Clostridium_AQ innocuum	74.02940400247928	80.66	1.89	50.0	3224839	5608	1	2.1521595	0	0	0.11322867	0	0
Mx_All_7	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes onderdonkii	70.45656361940814	89.45	4.9	73.33	2598848	6711	1	1.8801385	0.72774345	2.8806918	0	0.28372052	0.2553707
Mx_All_8	d__Bacteria	p__Bacillota_I	c__Bacilli_A	o__Erysipelotrichales	f__Coprobacillaceae	g__Thomasclavelia	s__Thomasclavelia ramosa	52.49280210163681	50.77	0.0	0.0	1505005	2790	1	1.3776569	0	0.06678375	0.5688312	0	0
Mx_All_9	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lacticaseibacillus	s__Lacticaseibacillus paracasei	92.32030804116872	95.0	0.93	0.0	2722890	8722	1	2.363381	0	0.30396047	0	0	0
