"","Accession","organism_name","taxid","label","avgIntensity","proportion","nMCB","n","gene"
"51","000145355.1","Propionibacterium acnes HL060PA1",765084,"GCA_000145355.1_ASM14535v1.fna.gz",0,0,0,NA,0
"52","000145455.1","Propionibacterium acnes HL027PA1",765111,"GCA_000145455.1_ASM14545v1.fna.gz",0,0,0,NA,0
"53","000145475.1","Propionibacterium acnes HL059PA2",765092,"GCA_000145475.1_ASM14547v1.fna.gz",0,0,0,NA,0
"54","000145495.1","Propionibacterium acnes HL036PA3",765108,"GCA_000145495.1_ASM14549v1.fna.gz",0,0,0,NA,0
"55","000145515.1","Propionibacterium acnes HL030PA2",765104,"GCA_000145515.1_ASM14551v1.fna.gz",0,0,0,NA,0
"56","000145535.1","Propionibacterium acnes HL078PA1",765071,"GCA_000145535.1_ASM14553v1.fna.gz",0,0,0,NA,0
"57","000145555.1","Propionibacterium acnes HL037PA1",765122,"GCA_000145555.1_ASM14555v1.fna.gz",0,0,0,NA,0
"58","000145575.1","Propionibacterium acnes HL013PA1",765069,"GCA_000145575.1_ASM14557v1.fna.gz",0,0,0,NA,0
"59","000146185.1","[Eubacterium] eligens ATCC 27750",515620,"GCA_000146185.1_ASM14618v1_genomic.fna.gz",0,0,0,NA,0
"60","000147235.1","Enterococcus faecium TX0133a04",749523,"GCA_000147235.1_ASM14723v1.fna.gz",1145.62947632143,0.285714285714286,8,3,1
"61","000147235.1","Enterococcus faecium TX0133a04",749523,"GCA_000147235.1_ASM14723v1.fna.gz",1145.62947632143,0.285714285714286,8,3,1
"62","000153925.1","[Ruminococcus] torques ATCC 27756",411460,"GCA_000153925.1_ASM15392v1_genomic.fna.gz",0,0,0,NA,0
"63","000154065.1","Dorea longicatena DSM 13814",411462,"GCA_000154065.1_ASM15406v1_genomic.fna.gz",4212.62771428571,0.171428571428571,6,NA,0
"64","000154085.1","Bifidobacterium adolescentis L2_32",411481,"GCA_000154085.1_ASM15408v1.fna.gz",3898.01127989286,0.428571428571429,12,1,1
"65","000154105.1","Parabacteroides merdae ATCC 43184",411477,"GCA_000154105.1_ASM15410v1_genomic.fna.gz",0,0,0,NA,0
"66","000154205.1","Bacteroides uniformis ATCC 8492",411479,"GCA_000154205.1_ASM15420v1_genomic.fna.gz",10856.7282857143,0.142857142857143,5,1,1
"67","000154345.1","[Clostridium] leptum DSM 753",428125,"GCA_000154345.1_ASM15434v1_genomic.fna.gz",0,0,0,NA,0
"68","000154385.1","Faecalibacterium prausnitzii M21/2",411485,"GCA_000154385.1_ASM15438v1_genomic.fna.gz",0,0,0,NA,0
"69","000154485.1","Erysipelatoclostridium ramosum DSM 1402",445974,"GCA_000154485.1_ASM15448v1_genomic.fna.gz",0,0,0,NA,0
"70","000154525.1","Bacteroides stercoris ATCC 43183",449673,"GCA_000154525.1_ASM15452v1_genomic.fna.gz",0,0,0,1,1
"71","000154865.1","Providencia stuartii ATCC 25827",471874,"GCA_000154865.1_ASM15486v1_genomic.fna.gz",0,0,0,NA,0
"72","000154985.1","Streptococcus infantarius subsp. infantarius ATCC BAA-102",471872,"GCA_000154985.1_ASM15498v1_genomic.fna.gz",0,0,0,NA,0
"73","000155085.1","Clostridium sporogenes ATCC 15579",471871,"GCA_000155085.1_ASM15508v1_genomic.fna.gz",0,0,0,NA,0
"74","000155205.1","[Ruminococcus] lactaris ATCC 29176",471875,"GCA_000155205.1_ASM15520v1_genomic.fna.gz",0,0,0,1,1
"75","000155835.1","Proteus penneri ATCC 35198",471881,"GCA_000155835.1_ASM15583v1_genomic.fna.gz",0,0,0,NA,0
"76","000155875.1","Coprococcus comes ATCC 27758",470146,"GCA_000155875.1_ASM15587v1_genomic.fna.gz",38860.5037142857,0.514285714285714,18,NA,0
"77","000155955.1","Mitsuokella multacida DSM 20544",500635,"GCA_000155955.1_ASM15595v1_genomic.fna.gz",0,0,0,NA,0
"78","000155975.1","Citrobacter youngae ATCC 29220",500640,"GCA_000155975.1_ASM15597v1_genomic.fna.gz",0,0,0,NA,0
"79","000155995.1","Enterobacter cancerogenus ATCC 35316",500639,"GCA_000155995.1_ASM15599v1_genomic.fna.gz",0,0,0,NA,0
"80","000156035.2","Tyzzerella nexilis DSM 1787",500632,"GCA_000156035.2_ASM15603v2_genomic.fna.gz",4379.472,0.2,7,NA,0
"81","000156075.1","Phocaeicola dorei DSM 17855",483217,"GCA_000156075.1_ASM15607v1_genomic.fna.gz",0,0,0,2,1
"82","000156175.1","Collinsella intestinalis DSM 13280",521003,"GCA_000156175.1_ASM15617v1_genomic.fna.gz",0,0,0,NA,0
"83","000156195.1","Bacteroides finegoldii DSM 17565",483215,"GCA_000156195.1_ASM15619v1_genomic.fna.gz",0,0,0,NA,0
"84","000156215.1","Collinsella stercoris DSM 13279",445975,"GCA_000156215.1_ASM15621v1_genomic.fna.gz",0,0,0,NA,0
"85","000156495.1","Parabacteroides johnsonii DSM 18315",537006,"GCA_000156495.1_ASM15649v1_genomic.fna.gz",0,0,0,NA,0
"86","000156655.1","Holdemanella biformis DSM 3989",518637,"GCA_000156655.1_ASM15665v1_genomic.fna.gz",0,0,0,NA,0
"87","000157015.1","Bacteroides fragilis 3_1_12",457424,"GCA_000157015.1_ASM15701v1.fna.gz",0,0,0,1,1
"88","000157075.2","Bacteroides 9_1_42FAA",457395,"GCA_000157075.2_Bact_sp_9_1_42FAA_V2.fna.gz",0,0,0,2,1
"89","000157915.1","Phocaeicola coprophilus DSM 18228 = JCM 13818",547042,"GCA_000157915.1_ASM15791v1_genomic.fna.gz",0,0,0,1,1
"90","000157955.1","Subdoligranulum variabile DSM 15176",411471,"GCA_000157955.1_ASM15795v1_genomic.fna.gz",0,0,0,NA,0
"91","000157995.1","Holdemania filiformis DSM 12042",545696,"GCA_000157995.1_ASM15799v1_genomic.fna.gz",37573.7651428571,0.542857142857143,19,NA,0
"92","000158035.1","Bacteroides cellulosilyticus DSM 14838",537012,"GCA_000158035.1_ASM15803v1_genomic.fna.gz",0,0,0,NA,0
"93","000158055.1","Providencia rettgeri DSM 1131",521000,"GCA_000158055.1_ASM15805v1_genomic.fna.gz",0,0,0,NA,0
"94","000158075.1","[Clostridium] asparagiforme DSM 15981",518636,"GCA_000158075.1_ASM15807v1_genomic.fna.gz",0,0,0,NA,0
"95","000158335.2","Bacteroides dorei 5_1_36/D4",556260,"GCA_000158335.2_Bact_dorei_5_1_36_D4_V2.fna.gz",0,0,0,NA,0
"96","000158375.2","Clostridium 7_2_43FAA",457396,"GCA_000158375.2_Clostridium_sp_7_2_43FAA_V2.fna.gz",1063.87904153571,0.178571428571429,5,1,1
"97","000158375.2","Clostridium 7_2_43FAA",457396,"GCA_000158375.2_Clostridium_sp_7_2_43FAA_V2.fna.gz",1063.87904153571,0.178571428571429,5,1,1
"98","000159055.1","Clostridium sp. M62/1",411486,"GCA_000159055.1_ASM15905v1_genomic.fna.gz",11086.74,0.314285714285714,11,1,1
"99","000159055.1","Clostridium sp. M62/1",411486,"GCA_000159055.1_ASM15905v1_genomic.fna.gz",11086.74,0.314285714285714,11,1,1
"100","000159075.2","Bacteroides D2",556259,"GCA_000159075.2_Bact_sp_D2_V2.fna.gz",0,0,0,1,1
"101","000159875.2","Bacteroides 1_1_6",818,"GCA_000159875.2_Bact_sp_1_1_6_V2.fna.gz",0,0,0,2,1
"102","000160095.1","Hungatella hathewayi DSM 13479",566550,"GCA_000160095.1_ASM16009v1_genomic.fna.gz",5060.74742857143,0.171428571428571,6,NA,0
"103","000160635.1","Oribacterium sinus F0268",585501,"GCA_000160635.1_ASM16063v1.fna.gz",0,0,0,NA,0
"104","000162135.1","Bacteroides 2_1_16",817,"GCA_000162135.1_ASM16213v1.fna.gz",0,0,0,1,1
"105","000162155.1","Bacteroides 2_1_22",469588,"GCA_000162155.1_ASM16215v1.fna.gz",0,0,0,2,1
"106","000162215.1","Bacteroides D20",585543,"GCA_000162215.1_ASM16221v1.fna.gz",0,0,0,1,1
"107","000162275.1","Parabacteroides D13",563193,"GCA_000162275.1_ASM16227v1.fna.gz",0,0,0,NA,0
"108","000162415.1","Prevotella F0108",575615,"GCA_000162415.1_ASM16241v1.fna.gz",0,0,0,NA,0
"109","000162455.1","Prevotella buccae D17",575611,"GCA_000162455.1_ASM16245v1.fna.gz",0,0,0,NA,0
"110","000162915.1","Prevotella oris F0302",649760,"GCA_000162915.1_ASM16291v1.fna.gz",0,0,0,NA,0
"111","000162935.1","Prevotella veroralis F0319",649761,"GCA_000162935.1_ASM16293v1.fna.gz",0,0,0,NA,0
"112","000163035.1","Prevotella melaninogenica D18",575612,"GCA_000163035.1_ASM16303v1.fna.gz",0,0,0,NA,0
"113","000163495.1","Prevotella F0295",619693,"GCA_000163495.1_ASM16349v1.fna.gz",0,0,0,NA,0
"114","000163715.1","Veillonella 3_1_44",457416,"GCA_000163715.1_ASM16371v1.fna.gz",0,0,0,NA,0
"115","000163955.1","Edwardsiella tarda ATCC 23685",500638,"GCA_000163955.1_ASM16395v1_genomic.fna.gz",0,0,0,NA,0
"116","000169015.1","Bacteroides caccae ATCC 43185",411901,"GCA_000169015.1_ASM16901v1_genomic.fna.gz",698.692571428571,0.0571428571428571,2,1,1
"117","000169035.1","Collinsella aerofaciens ATCC 25986",411903,"GCA_000169035.1_ASM16903v1_genomic.fna.gz",1118.45742857143,0.0857142857142857,3,1,1
"118","000169235.1","Dorea formicigenerans ATCC 27755",411461,"GCA_000169235.1_ASM16923v1_genomic.fna.gz",3654.24942857143,0.0857142857142857,3,NA,0
"119","000172135.1","Bifidobacterium dentium ATCC 27678",473819,"GCA_000172135.1_ASM17213v1_genomic.fna.gz",1350.35914285714,0.114285714285714,4,1,1
"120","000172175.1","Bacteroides intestinalis DSM 17393",471870,"GCA_000172175.1_ASM17217v1_genomic.fna.gz",427.964,0.0285714285714286,1,NA,0
"121","000173355.1","Anaerococcus hydrogenalis DSM 7454",561177,"GCA_000173355.1_ASM17335v1_genomic.fna.gz",0,0,0,NA,0
"122","000173815.1","Marvinbryantia formatexigens DSM 14469",478749,"GCA_000173815.1_ASM17381v1_genomic.fna.gz",0,0,0,NA,0
"123","000174215.1","Acidaminococcus D21",187327,"GCA_000174215.1_ASM17421v1.fna.gz",691.795839285714,0.0357142857142857,1,NA,0
"124","000175315.3","Actinomyces viscosus C505",562973,"GCA_000175315.3_Acti_vis_C505_V3.fna.gz",0,0,0,NA,0
"125","000176775.1","Mobiluncus mulieris 28-1 ",596328,"GCA_000176775.1_ASM17677v1.fna.gz",0,0,0,NA,0
"126","000177055.1","Prevotella timonensis CRIS 5C_B1",679189,"GCA_000177055.1_ASM17705v1.fna.gz",0,0,0,NA,0
"127","000177355.1","Prevotella amnii CRIS 21A_A",679191,"GCA_000177355.1_ASM17735v1.fna.gz",0,0,0,NA,0
"128","000179335.1","Peptoniphilus F0141",768724,"GCA_000179335.1_ASM17933v1.fna.gz",91.5570892857143,0.0357142857142857,1,NA,0
"129","000183585.1","Clostridium HGF2",908340,"GCA_000183585.2_ASM18358v1.fna.gz",111.57065475,0.0357142857142857,1,NA,0
"130","000185585.1","Bacteroides 4_1_36",457393,"GCA_000185585.1_ASM18558v1.fna.gz",0,0,0,1,1
"131","000185605.1","Bacteroides eggerthii 1_2_48FAA",665953,"GCA_000185605.1_ASM18560v1.fna.gz",48.2501011785714,0.0357142857142857,1,2,1
"132","000185665.1","Bifidobacterium 12_1_47BFAA",216816,"GCA_000185665.1_ASM18566v1.fna.gz",1235.44041678571,0.285714285714286,8,1,1
"133","000187895.1","Phocaeicola plebeius DSM 17135",484018,"GCA_000187895.1_ASM18789v1_genomic.fna.gz",0,0,0,1,1
"134","000189615.1","Clostridium symbiosum WAL_14673",742741,"GCA_000189615.1_Clos_symb_WAL_14673_V2.fna.gz",405.760214285714,0.0714285714285714,2,NA,0
"135","000209465.1","Lachnospiraceae F0167",575593,"GCA_000209465.1_Lach_bact_F0167_V1.fna.gz",4023.24214282143,0.607142857142857,17,NA,0
"136","000210075.1","Bacteroides xylanisolvens XB1A",657309,"GCA_000210075.1_ASM21007v1_genomic.fna.gz",32209.5071428571,0.2,7,2,1
"137","000214475.1","Parvimonas F0139",767100,"GCA_000214475.2_ASM21447v1.fna.gz",0,0,0,NA,0
"138","000218325.1","Bacteroides ovatus 3_8_47FAA",665954,"GCA_000218325.1_Bact_ovat_3_8_47FAA_V1.fna.gz",0,0,0,2,1
"139","000218465.1","Lachnospiraceae 2_1_58FAA",658082,"GCA_000218465.1_Lach_bact_2_1_58FAA_V1.fna.gz",1572.62370239286,0.392857142857143,11,NA,0
"140","000221125.1","Propionibacterium acnes SK182",679193,"GCA_000221125.2_ASM22112v2.fna.gz",0,0,0,NA,0
"141","000233535.1","Olsenella F0356",661087,"GCA_000233535.1_Olsenella_sp_F0356_V1.fna.gz",0,0,0,NA,0
"142","000234055.1","Prevotella histicola F0411",857291,"GCA_000234055.1_Prev_hist_F0411_V1.fna.gz",0,0,0,NA,0
"143","000234075.2","Fusobacterium nucleatum subpolymorphum F0401",693991,"GCA_000234075.2_Fuso_nucl_F0401_V2.fna.gz",0,0,0,NA,0
"144","000234135.1","Selenomonas noxia F0398",702437,"GCA_000234135.1_Sele_noxi_F0398_V1.fna.gz",0,0,0,NA,0
"145","000242235.1","Stomatobaculum longumACC2",796942,"GCA_000242235.1_Lach_bact_ACC2_V1.fna.gz",0,0,0,NA,0
"146","000242995.2","Fusobacterium ulcerans, 12_1B",457404,"GCA_000242995.2_Fusobacterium_sp_12_1B_V2.fna.gz",676.902898821429,0.0714285714285714,2,NA,0
"147","000244855.1","Coprobacillus 8_2_54BFAA",469597,"GCA_000244855.1_Coprob_sp_8_2_54BFAA_V1.fna.gz",0,0,0,NA,0
"148","000261205.1","Bifidobacterium longum sublongum 2_2B",1161745,"GCA_000261205.1_Blongum22Bv1.0.fna.gz",1569.78473214286,0.428571428571429,12,1,1
"149","000261225.1","Bifidobacterium longum sublongum 35B",1161904,"GCA_000261225.1_Blongum35Bv1.0.fna.gz",1894.38105953571,0.392857142857143,11,1,1
"150","000261245.1","Bifidobacterium longum sublongum 1_6B",1161744,"GCA_000261245.1_Blongum16Bv1.0.fna.gz",1053.08966667857,0.285714285714286,8,1,1
"151","000261265.1","Bifidobacterium longum sublongum 44B",1161743,"GCA_000261265.1_Blongum44Bv1.0.fna.gz",1711.18157739286,0.321428571428571,9,1,1
"152","000263115.1","Bacteroides fragilis CL07T00C01",997882,"GCA_000263115.1_Bact_frag_CL07T00C01_V1.fna.gz",49.9666190357143,0.0357142857142857,1,2,1
"153","000269565.1","Coprobacillus D6 ",100884,"GCA_000269565.1_PB_Copr_sp_D6_V1.fna.gz",0,0,0,NA,0
"154","000273015.1","Bacteroides cellulosilyticus CL02T12C19",997874,"GCA_000273015.1_Bact_cell_CL02T12C19_V1.fna.gz",0,0,0,NA,0
"155","000273035.1","Bacteroides dorei CL02T00C15",997875,"GCA_000273035.1_Bact_dore_CL02T00C15_V1.fna.gz",0,0,0,NA,0
"156","000273055.1","Bacteroides dorei CL02T12C06",997876,"GCA_000273055.1_Bact_dore_CL02T12C06_V1.fna.gz",0,0,0,NA,0
"157","000273075.1","Bacteroides dorei CL03T12C01",997877,"GCA_000273075.1_Bact_dore_CL03T12C01_V1.fna.gz",0,0,0,NA,0
"158","000273115.1","Bacteroides fragilis CL03T12C07",997879,"GCA_000273115.1_Bact_frag_CL03T12C07_V1.fna.gz",0,0,0,1,1
"159","000273155.1","Bacteroides fragilis CL07T12C05",997883,"GCA_000273155.1_Bact_frag_CL07T12C05_V1.fna.gz",0,0,0,2,1
"160","000273235.1","Bacteroides salyersiae CL02T12C01",997887,"GCA_000273235.1_Bact_saly_CL02T12C01_V1.fna.gz",0,0,0,2,1
"161","000273295.1","Bacteroides vulgatus CL09T03C04",997891,"GCA_000273295.1_Bact_vulg_CL09T03C04_V1.fna.gz",0,0,0,NA,0
"162","000273605.1","Fusobacterium nucleatum subanimalis F0419",999414,"GCA_000273605.1_PB_Fuso_nucl_ss_animalis_F0419_V1.fna.gz",0,0,0,NA,0
"163","000273725.1","Bacteroides caccae CL03T12C61",997873,"GCA_000273725.1_Bact_cacc_CL03T12C61_V1.fna.gz",342.679642857143,0.0714285714285714,2,1,1
"164","000273765.1","Bacteroides fragilis CL05T00C42",997880,"GCA_000273765.1_Bact_frag_CL05T00C42_V1.fna.gz",70.1123809642857,0.0357142857142857,1,2,1
"165","000277625.1","Clostridium MSTE9",1105031,"GCA_000277625.1_CspMSTE9v1.0.fna.gz",0,0,0,NA,0
"166","000287675.1","Lachnospiraceae ICM7",936594,"GCA_000287675.1_LspICM7v1.0.fna.gz",0,0,0,NA,0
"167","000287695.1","Peptostreptococcaceae AS15",936556,"GCA_000287695.1_EspAS15v1.0.fna.gz",0,0,0,NA,0
"168","000294005.2","Enterococcus faecalis ERV103",1134785,"GCA_000294005.2_ASM29400v2.fna.gz",0,0,0,NA,0
"169","000295055.2","Enterococcus faecium 503",1134804,"GCA_000295055.2_ASM29505v2.fna.gz",4999.81689273929,0.535714285714286,15,2,1
"170","000295055.2","Enterococcus faecium 503",1134804,"GCA_000295055.2_ASM29505v2.fna.gz",4999.81689273929,0.535714285714286,15,2,1
"171","000295175.2","Enterococcus faecium ERV99",1134827,"GCA_000295175.2_ASM29517v2.fna.gz",1923.46389275,0.285714285714286,8,2,1
"172","000295175.2","Enterococcus faecium ERV99",1134827,"GCA_000295175.2_ASM29517v2.fna.gz",1923.46389275,0.285714285714286,8,2,1
"173","000295235.2","Enterococcus faecium ERV165",1134822,"GCA_000295235.2_ASM29523v2.fna.gz",1830.24629746429,0.25,7,2,1
"174","000295235.2","Enterococcus faecium ERV165",1134822,"GCA_000295235.2_ASM29523v2.fna.gz",1830.24629746429,0.25,7,2,1
"175","000295355.2","Enterococcus faecium ERV102",1134820,"GCA_000295355.2_ASM29535v2.fna.gz",3242.52108903571,0.464285714285714,13,2,1
"176","000295355.2","Enterococcus faecium ERV102",1134820,"GCA_000295355.2_ASM29535v2.fna.gz",3242.52108903571,0.464285714285714,13,2,1
"177","000295415.2","Enterococcus faecium E417",1134817,"GCA_000295415.2_ASM29541v2.fna.gz",302.010630964286,0.0357142857142857,1,3,1
"178","000295415.2","Enterococcus faecium E417",1134817,"GCA_000295415.2_ASM29541v2.fna.gz",302.010630964286,0.0357142857142857,1,3,1
"179","000295575.2","Enterococcus faecium 513",1134811,"GCA_000295575.2_ASM29557v2.fna.gz",5980.01089264286,0.607142857142857,17,2,1
"180","000295575.2","Enterococcus faecium 513",1134811,"GCA_000295575.2_ASM29557v2.fna.gz",5980.01089264286,0.607142857142857,17,2,1
"181","000296385.1","Clostridiales OBRC5_5",936595,"GCA_000296385.1_Clos_bact_OBRC5-5_V1.fna.gz",2339.23454767857,0.392857142857143,11,NA,0
"182","000297655.1","Fusobacterium periodonticum 1_A_54/D10",620833,"GCA_000297655.1_Fuso_PO_Taxon_201_D10_V1.fna.gz",0,0,0,NA,0
"183","000304195.1","Bacteroides finegoldii CL09T03C10",997888,"GCA_000304195.1_Bact_thet_CL09T03C10_V1.fna.gz",0,0,0,NA,0
"184","000307345.1","Parabacteroides merdae CL03T12C32",999420,"GCA_000307345.1_Para_merd_CL03T12C32_V1.fna.gz",0,0,0,NA,0
"185","000307375.1","Parabacteroides johnsonii CL02T12C29",999419,"GCA_000307375.1_Para_john_CL02T12C29_V1.fna.gz",0,0,0,NA,0
"186","000307495.1","Parabacteroides merdae CL09T00C40",999421,"GCA_000307495.1_Para_merd_CL09T00C40_V1.fna.gz",0,0,0,NA,0
"187","000336235.1","Prevotella nigrescens F0103",702439,"GCA_000336235.1_Prev_nigr_F0103_V1.fna.gz",0,0,0,NA,0
"188","000338635.1","Treponema denticola ASLM",999427,"GCA_000338635.1_Trep_dent_ASLM_V1.fna.gz",0,0,0,NA,0
"189","000340725.1","Treponema denticola AL_2",999426,"GCA_000340725.1_Trep_dent_AL-2_V1.fna.gz",0,0,0,NA,0
"190","000411435.1","Bifidobacterium breve HPH0326",1203540,"GCA_000411435.1_Bifi_brev_HPH0326_V1.fna.gz",6940.18970796429,0.392857142857143,11,1,1
"191","000411515.1","Sutterella wadsworthensis HGA0223",1203554,"GCA_000411515.1_Sutt_wads_HGA0223_V1.fna.gz",0,0,0,NA,0
"192","000413355.1","Prevotella oralis HGA0225",1203550,"GCA_000413355.1_Prev_oral_HGA0225_V1.fna.gz",0,0,0,NA,0
"193","000413395.1","Bacteroides stercoris CC31F",1073351,"GCA_000413395.1_Bact_ster_CC31F_V1.fna.gz",0,0,0,1,1
"194","000414425.1","Gardnerella vaginalis JCP8522",1261071,"GCA_000414425.1_ASM41442v1.fna.gz",0,0,0,NA,0
"195","000414445.1","Gardnerella vaginalis JCP8481B",1261070,"GCA_000414445.1_ASM41444v1.fna.gz",0,0,0,NA,0
"196","000414485.1","Gardnerella vaginalis JCP8151B",1261068,"GCA_000414485.1_ASM41448v1.fna.gz",0,0,0,NA,0
"197","000414505.1","Gardnerella vaginalis JCP8151A",1261067,"GCA_000414505.1_ASM41450v1.fna.gz",0,0,0,NA,0
