pathway,pval,padj,ES,size,leadingEdge,go_description,species,category,t2d_status,genenum_cat,species_update,go_id_description,padj_annot,padj_annot1,padj_annot2
GO:0044780,0.000223521,0.003464576,0.729130614,13,"UniRef90_A0A174CQ46, UniRef90_A0A174DCE4, UniRef90_C4ZAP4, UniRef90_A0A174I3X9, UniRef90_A0A2U2EJT1, UniRef90_C4ZAM7, UniRef90_A0A2U2EKC6, UniRef90_C4Z9J5, UniRef90_A0A173W8D9, UniRef90_A0A0M6WW43",Bacterial-type flagellum assembly,Eubacterium_rectale,Cell motility,Non-significant,1,Eubacterium rectale,"GO:0044780, Bacterial-type flagellum assembly",#,,#
GO:0006935,8.69675E-05,0.002695992,0.805597592,10,"UniRef90_C4Z8Y8, UniRef90_C4ZBB9, UniRef90_C4ZAS3, UniRef90_A0A173W6H0, UniRef90_A0A173W6G9, UniRef90_C4ZAN5, UniRef90_A0A173WBG4, UniRef90_A0A174ES02, UniRef90_A0A2U2EJZ5",Chemotaxis,Eubacterium_rectale,Cell motility,Non-significant,1,Eubacterium rectale,"GO:0006935, Chemotaxis",#,,#
GO:0009432,0.001563391,0.012116283,0.770469093,9,"UniRef90_R5UIE3, UniRef90_A0A0M6WG47, UniRef90_R5V8X0, UniRef90_A0A0M6WLY7",SOS response,Roseburia_faecis,Damaged DNA repair,Non-significant,1,Roseburia faecis,"GO:0009432, SOS response",#,,#
GO:0006284,0.004829041,0.060363017,-0.852554745,5,"UniRef90_C3R930, UniRef90_C3R931, UniRef90_A0A076IT94, UniRef90_A6L7T5, UniRef90_C3RFG5",Base-excision repair,Bacteroides_dorei,Damaged DNA repair,Non-significant,1,Bacteroides dorei,"GO:0006284, Base-excision repair",*,*,
GO:0006306,0.001321327,0.067799776,-0.47385103,18,"UniRef90_A0A174JHG8, UniRef90_A0A380YVQ5, UniRef90_R6K7L5, UniRef90_A0A174NQE1, UniRef90_A0A081U113, UniRef90_A0A380YW50, UniRef90_Q64UV1, UniRef90_D4IN38, UniRef90_A0A0I9S5L8, UniRef90_K1GMV8, UniRef90_A0A125MGC0, UniRef90_A5ZE70, UniRef90_A0A139SZD4, UniRef90_I8VR76, UniRef90_D1JN40, UniRef90_I9RCG0, UniRef90_A0A174N3R8, UniRef90_A0A125MH38",DNA methylation,Bacteroides_cellulosilyticus,DNA methylation,Non-significant,1,Bacteroides cellulosilyticus,"GO:0006306, DNA methylation",*,*,
GO:0006306,0.007752864,0.058921763,-0.72106082,7,"UniRef90_R6B7Y8, UniRef90_C7GII3, UniRef90_C7GHU2, UniRef90_C7GIJ7, UniRef90_C7G5Y6, UniRef90_A0A173T575",DNA methylation,Roseburia_intestinalis,DNA methylation,Non-significant,1,Roseburia intestinalis,"GO:0006306, DNA methylation",*,*,
GO:0006265,0.001324555,0.098281971,0.316868649,131,"UniRef90_A0A376XZY7, UniRef90_A0A377W5D8, UniRef90_A0A377TZU2, UniRef90_A0A2X3JEL5, UniRef90_A0A2X3HH02, UniRef90_A0A376VAT7, UniRef90_A0A377C214, UniRef90_A0A2X1PRC8, UniRef90_A0A376RK44, UniRef90_A0A377ABK2, UniRef90_A0A2X3GT74, UniRef90_A0A2X3KGJ1, UniRef90_A0A2X3I264, UniRef90_A0A377XHN4, UniRef90_A0A376WV33, UniRef90_A0A377XKJ7, UniRef90_A0A377V862, UniRef90_A0A377YQ93, UniRef90_A0A378EV03, UniRef90_P37411, UniRef90_A0A377VXL7, UniRef90_A0A378EJX2, UniRef90_A0A2X3CPS7, UniRef90_A0A2S6E7M2, UniRef90_A0A2X3CJ18, UniRef90_J7R570, UniRef90_A0A370ZAW7, UniRef90_A0A377JXB1, UniRef90_A0A377XT59, UniRef90_A0A127KXY8, UniRef90_A0A378E7G0, UniRef90_A0A377BRI1, UniRef90_W1DUI4, UniRef90_A0A377TTS9, UniRef90_A0A376DHD1, UniRef90_A0A377TX10, UniRef90_A0A377U1K5, UniRef90_A0A377TYV9",DNA topological change,Klebsiella_pneumoniae,DNA replication & transcription,Non-significant,3,Klebsiella pneumoniae,"GO:0006265, DNA topological change",*,*,
GO:0006352,0.004945072,0.030906703,0.481074911,49,"UniRef90_A5ZG44, UniRef90_R5UN35, UniRef90_R5URG4, UniRef90_R5U8X7, UniRef90_R5UXM2, UniRef90_R5UD76, UniRef90_A0A1H4FXX6, UniRef90_R5UUQ0, UniRef90_R5UUP4, UniRef90_R5UPG7, UniRef90_R5U969, UniRef90_C3QY24, UniRef90_R6JLZ3, UniRef90_R5UUQ4, UniRef90_A5ZKP0, UniRef90_A0A174P9E4, UniRef90_C9KSB9, UniRef90_R5UYV3, UniRef90_A0A174QI47, UniRef90_R6JDG8, UniRef90_R5U237, UniRef90_A5ZBD0, UniRef90_A5ZJ08, UniRef90_R5UND7, UniRef90_K5BUQ1, UniRef90_A0A081U0V9, UniRef90_A0A174TY50, UniRef90_R5U829, UniRef90_A0A174N230, UniRef90_R5UGN8, UniRef90_R5UNG8, UniRef90_R5UUM3, UniRef90_A5ZLH3, UniRef90_A0A174R1M7",DNA-templated transcription initiation,Bacteroides_caccae,DNA replication & transcription,Non-significant,2,Bacteroides caccae,"GO:0006352, DNA-templated transcription initiation",#,,#
GO:0006352,0.033738192,0.087156995,-0.431056942,41,"UniRef90_D4L2I1, UniRef90_B7ARV1, UniRef90_A0A1L5KQG6, UniRef90_A0A174IFI9, UniRef90_A0A2A7AB72, UniRef90_B7AV09, UniRef90_C7H1C9, UniRef90_C4Z604, UniRef90_C0FQS4, UniRef90_A0A329TZT5, UniRef90_A0A0M6WLQ0, UniRef90_A0A139TK70, UniRef90_C9YMF1, UniRef90_D4LWL5, UniRef90_G9RNY1, UniRef90_A0A0M6WRP8, UniRef90_B0G692",DNA-templated transcription initiation,Eubacterium_rectale,DNA replication & transcription,Non-significant,2,Eubacterium rectale,"GO:0006352, DNA-templated transcription initiation",*,*,
GO:0006352,0.005387704,0.096978677,-0.462657945,33,"UniRef90_C0FQS4, UniRef90_A0A174GJ24, UniRef90_A0A096B5B1, UniRef90_G9RNY1, UniRef90_A0A174DGY7, UniRef90_C9YMF1, UniRef90_A0A174QSN4, UniRef90_A0A174SG13, UniRef90_A0A174L7B6, UniRef90_D4M5U6, UniRef90_A7VP63, UniRef90_D4L1Y8, UniRef90_A0A174N1S7, UniRef90_B0G6W4, UniRef90_A0A285PRR7",DNA-templated transcription initiation,Fusicatenibacter_saccharivorans,DNA replication & transcription,Non-significant,2,Fusicatenibacter saccharivorans,"GO:0006352, DNA-templated transcription initiation",*,*,
GO:0006002,0.000992015,0.078369167,0.762715687,9,"UniRef90_C5EU16, UniRef90_A0A0F0CBP9, UniRef90_D7GR55, UniRef90_A0A0F0CG02, UniRef90_C5EMT9, UniRef90_C5EHE3",Fructose 6-phosphate metabolic process,Dorea_longicatena,Glucose metabolism,Non-significant,1,Dorea longicatena,"GO:0006002, Fructose 6-phosphate metabolic process",*,*,
GO:0000917,0.024651163,0.076418605,-0.725044297,8,"UniRef90_D6E0H3, UniRef90_D4ML18, UniRef90_A5Z9Z6, UniRef90_A5Z4W5, UniRef90_C0FW27",Division septum assembly,Eubacterium_rectale,Glucose metabolism,Non-significant,1,Eubacterium rectale,"GO:0000917, Division septum assembly",*,*,
GO:0006096,0.002836956,0.049646727,-0.802990078,6,"UniRef90_A0A139K2I0, UniRef90_A7V779, UniRef90_Q8A8R2",Glycolytic process,Bacteroides_uniformis,Glucose metabolism,Non-significant,1,Bacteroides uniformis,"GO:0006096, Glycolytic process",#,,#
GO:0009401,0.001448211,0.018344002,0.825550655,6,"UniRef90_A0A1Q6SJ62, UniRef90_C7GD79, UniRef90_D4L1K7, UniRef90_C7G5X6, UniRef90_A0A173VHD2",Sugar phosphotransferase system,Roseburia_intestinalis,Glucose metabolism,Non-significant,1,Roseburia intestinalis,"GO:0009401, Sugar phosphotransferase system",#,,#
GO:0015074,0.000102588,0.002564697,0.38623834,180,"UniRef90_K1FAD2, UniRef90_B7BET4, UniRef90_K5ZNQ2, UniRef90_B3CHA4, UniRef90_I9FQX7, UniRef90_I8WS04, UniRef90_K6AF24, UniRef90_A0A174E8U1, UniRef90_B6W077, UniRef90_E5WXG2, UniRef90_A0A0P0L0T8, UniRef90_A0A081U129, UniRef90_I8XRN9, UniRef90_A0A174NTC3, UniRef90_I9R282, UniRef90_C3R8J9, UniRef90_B6W530, UniRef90_B6VY09, UniRef90_A0A0I9RRX1, UniRef90_I8VR55, UniRef90_B6W529, UniRef90_I9R223, UniRef90_U5CH80, UniRef90_A7M3G8, UniRef90_S0F7F5, UniRef90_A0A1Y4Q0R3, UniRef90_A0A174RLA9, UniRef90_D7IVC1, UniRef90_A0A174VSX2, UniRef90_A0A174VC56, UniRef90_B6VT37, UniRef90_A0A2V2C461, UniRef90_A0A380Z0J9, UniRef90_D6D711, UniRef90_A7M3G7, UniRef90_G5SMD3, UniRef90_D1K9G0, UniRef90_A0A016EEM4, UniRef90_A0A0P0LPI5, UniRef90_E6SPH7, UniRef90_R9I3P4, UniRef90_I8WKW7, UniRef90_A0A1Q6HVB9, UniRef90_A0A174XBN9, UniRef90_R9I345, UniRef90_E5VFT1, UniRef90_I9RKM3, UniRef90_A0A0P0M3H8, UniRef90_A0A076IXR3, UniRef90_R5CPZ0, UniRef90_A0A076IM53, UniRef90_A0A174MYG6, UniRef90_I8V3R5, UniRef90_A0A016H1P3, UniRef90_A0A174U0I1, UniRef90_D1JYU7, UniRef90_I8VJR8, UniRef90_I8XVT1, UniRef90_I9SLU1, UniRef90_A0A076IVJ1, UniRef90_S0F968, UniRef90_W1I5E8, UniRef90_C3RB21, UniRef90_F3PW70, UniRef90_D1K9H8, UniRef90_S0F5A2, UniRef90_A0A015TGQ1, UniRef90_A0A0P0M5D9, UniRef90_A0A174US37, UniRef90_A0A0E2RPW1, UniRef90_C3R8J8, UniRef90_E4VT64",DNA integration,Bacteroides_dorei,Phage and HGT,Non-significant,3,Bacteroides dorei,"GO:0015074, DNA integration",#,,#
GO:0015074,0.002413497,0.014963679,-0.410052501,106,"UniRef90_R7C9H1, UniRef90_A0A173V949, UniRef90_E7GQB0, UniRef90_A0A174I5R8, UniRef90_A0A1E3U6V8, UniRef90_A0A173UNL4, UniRef90_D4L2I7, UniRef90_C4Z3W8, UniRef90_A0A174CRV5, UniRef90_A0A1Q2C6B4, UniRef90_A0A174NP31, UniRef90_D4JIJ0, UniRef90_A0A174XZ57, UniRef90_A0A174N5E9, UniRef90_A0A174I142, UniRef90_A0A173V860, UniRef90_A7B3G3, UniRef90_A0A173VIK7, UniRef90_A0A174LWU0, UniRef90_D4JI15, UniRef90_C4ZFI0, UniRef90_A0A174GA05, UniRef90_I3WHK0, UniRef90_D5HHR8, UniRef90_A0A174I3R7, UniRef90_D4JKT8, UniRef90_A0A174IT60, UniRef90_D4JDI5, UniRef90_A0A174FPG5, UniRef90_A0A0M6WUG9, UniRef90_C4ZBM1, UniRef90_A0A174XPT9, UniRef90_A0A0M6W8X1, UniRef90_A0A0M6WUZ9, UniRef90_A0A173VW14, UniRef90_A0A174HZ92, UniRef90_A0A176U4A7, UniRef90_A0A174GRP4",DNA integration,Eubacterium_rectale,Phage and HGT,Non-significant,3,Eubacterium rectale,"GO:0015074, DNA integration",#,,#
GO:0015074,0.003948575,0.031588597,-0.388290245,54,"UniRef90_C0FPG9, UniRef90_T5LX70, UniRef90_A0A174VQF7, UniRef90_A0A173TET0, UniRef90_A0A174CKY0, UniRef90_A0A0M6WZD2, UniRef90_A0A0M6WS84, UniRef90_A0A174DW38, UniRef90_A0A174CWF0, UniRef90_A0A174CM29, UniRef90_A0A174PEM6, UniRef90_C0FW96, UniRef90_C0FZU0, UniRef90_D4LS26, UniRef90_C0FW97, UniRef90_E9RRN2",DNA integration,Roseburia_inulinivorans,Phage and HGT,Non-significant,2,Roseburia inulinivorans,"GO:0015074, DNA integration",#,,#
GO:0006313,1.96384E-06,7.85536E-05,-0.605614705,38,"UniRef90_D4JGU1, UniRef90_C0FN11, UniRef90_B7AS14, UniRef90_A0A150Y4J7, UniRef90_C0FVQ0, UniRef90_A0A173VUS0, UniRef90_V8C4U4, UniRef90_A0A0M6WH16, UniRef90_A0A0M6WXN8, UniRef90_A0A0V8QC31, UniRef90_A0A0M6WI39, UniRef90_A0A173THU5, UniRef90_A0A173UK11, UniRef90_A0A174FK55, UniRef90_C0FWH0, UniRef90_M2NCH0","Transposition, DNA-mediated",Roseburia_inulinivorans,Phage and HGT,Non-significant,2,Roseburia inulinivorans,"GO:0006313, Transposition, DNA-mediated",#,,#
GO:0015074,1.55598E-06,5.60154E-05,-0.601237556,37,"UniRef90_A0A174NQV1, UniRef90_A0A176U4A7, UniRef90_E7GQB0, UniRef90_A0A174UIN9, UniRef90_A0A173V949, UniRef90_A7VP61, UniRef90_A0A174MGT5, UniRef90_A0A174DIA3, UniRef90_A0A174MME7, UniRef90_A0A174SQJ8, UniRef90_A0A174E815, UniRef90_A0A174SNH7, UniRef90_A0A173XBP7, UniRef90_A0A174T5E1, UniRef90_U2DJ72, UniRef90_I3WHK0, UniRef90_A0A173UNL4, UniRef90_A0A174H2E2, UniRef90_A0A174HG15, UniRef90_C0BET3, UniRef90_A0A174VQF7, UniRef90_A0A174PEM6",DNA integration,Fusicatenibacter_saccharivorans,Phage and HGT,Non-significant,2,Fusicatenibacter saccharivorans,"GO:0015074, DNA integration",#,,#
GO:0006313,2.88699E-08,1.09706E-06,-0.614283366,37,"UniRef90_C7GHP4, UniRef90_C0FVQ0, UniRef90_A0A173U9F9, UniRef90_D4KLV0, UniRef90_C7GA70, UniRef90_D4L051, UniRef90_V2Y738, UniRef90_A0A0V8QC31, UniRef90_D4KPY7, UniRef90_D4KYG9, UniRef90_C0FWH0, UniRef90_C7GFW6, UniRef90_C7G919, UniRef90_C7G7N6, UniRef90_A0A173VZX9, UniRef90_A0A174BU01, UniRef90_M2NCH0, UniRef90_G1WUW7, UniRef90_C7GCV8, UniRef90_U2PKZ2, UniRef90_C7G734, UniRef90_D4KWX3, UniRef90_C7G7I4, UniRef90_D4L1A8","Transposition, DNA-mediated",Roseburia_intestinalis,Phage and HGT,Non-significant,2,Roseburia intestinalis,"GO:0006313, Transposition, DNA-mediated",#,,#
GO:0006313,0.003884865,0.055354912,-0.489233174,36,"UniRef90_A0A174UZJ3, UniRef90_A0A174V033, UniRef90_A0A174HKP6, UniRef90_C6JE95, UniRef90_A0A174T4V0, UniRef90_A0A174H5F7, UniRef90_C7G7N6, UniRef90_C6JF96, UniRef90_C6JAK3, UniRef90_T5LK47, UniRef90_A0A174B8T6, UniRef90_A0A174MH40, UniRef90_A0A174UIC7, UniRef90_C6JHS6, UniRef90_A0A174UVF6, UniRef90_A0A174HLP6, UniRef90_A0A174UZ21","Transposition, DNA-mediated",Blautia_wexlerae,Phage and HGT,Non-significant,2,Blautia wexlerae,"GO:0006313, Transposition, DNA-mediated",*,*,
GO:0015074,0.000120631,0.002291987,-0.496474624,36,"UniRef90_C7GB94, UniRef90_C7G7I9, UniRef90_C7G5N2, UniRef90_A0A173V949, UniRef90_C7G9X7, UniRef90_D4KYH0, UniRef90_A0A173T4F7, UniRef90_C7GCV7, UniRef90_A0A173TJN1, UniRef90_C7G7I5, UniRef90_D4L3U4, UniRef90_D4L2I7, UniRef90_A0A174GRP4",DNA integration,Roseburia_intestinalis,Phage and HGT,Non-significant,2,Roseburia intestinalis,"GO:0015074, DNA integration",#,,#
GO:0006313,0.006549997,0.03384165,-0.520095383,35,"UniRef90_D4JGU1, UniRef90_C4Z9M2, UniRef90_A0A1C7G6H0, UniRef90_U2PKZ2, UniRef90_M2NCH0, UniRef90_B7AS14, UniRef90_A0A174EV84, UniRef90_A0A173VRF4, UniRef90_A0A174HZK9, UniRef90_A0A174MQY0, UniRef90_D4M6K4, UniRef90_A0A174JPJ0, UniRef90_D4JMS4, UniRef90_G2SWG8, UniRef90_A5KM54, UniRef90_A0A173VZX9, UniRef90_C0FN11","Transposition, DNA-mediated",Eubacterium_rectale,Phage and HGT,Non-significant,2,Eubacterium rectale,"GO:0006313, Transposition, DNA-mediated",#,,#
GO:0015074,0.000305895,0.003911534,-0.572367366,31,"UniRef90_A0A173V949, UniRef90_C7G5N2, UniRef90_R7C9H1, UniRef90_C7G9X7, UniRef90_R7APA6, UniRef90_A0A173V409, UniRef90_A0A0M6WGH5, UniRef90_A0A173TJN1, UniRef90_A0A0M6WKH2, UniRef90_D4JI15, UniRef90_A0A0M6WK32, UniRef90_A0A174N5E9, UniRef90_A0A173T1P0, UniRef90_A0A173UJS7",DNA integration,Roseburia_faecis,Phage and HGT,Non-significant,2,Roseburia faecis,"GO:0015074, DNA integration",#,,#
GO:0009291,0.015811303,0.066647026,-0.556733843,23,"UniRef90_A0A1E3UFT6, UniRef90_A0A0M6W9S3, UniRef90_G5F870, UniRef90_A0A173T173, UniRef90_A0A174P791, UniRef90_A0A174PA47, UniRef90_A0A174JQY5, UniRef90_A0A0M6WAT4, UniRef90_A0A0M6WBH5, UniRef90_C7GEU3, UniRef90_D4JDK1, UniRef90_A0A2U2ECW9, UniRef90_A0A174HC84, UniRef90_A0A173Y9V6, UniRef90_C7H6T0, UniRef90_A0A2U2EFM4, UniRef90_A7VHY1",Unidirectional conjugation,Eubacterium_rectale,Phage and HGT,Non-significant,1,Eubacterium rectale,"GO:0009291, Unidirectional conjugation",*,*,
GO:0006313,1.77007E-07,5.48722E-06,-0.775211104,21,"UniRef90_A0A0M6WE12, UniRef90_A0A0M6WYI6, UniRef90_D4M6K4, UniRef90_A0A174EV84, UniRef90_A0A0M6WDV5, UniRef90_R9IF42, UniRef90_A0A173SHZ4, UniRef90_A0A173UXZ5, UniRef90_A0A173VZX9, UniRef90_A0A0M6WSK8, UniRef90_A0A0M6WF43, UniRef90_G2SWG8","Transposition, DNA-mediated",Roseburia_faecis,Phage and HGT,Non-significant,1,Roseburia faecis,"GO:0006313, Transposition, DNA-mediated",#,,#
GO:0051607,0.001574187,0.020989158,-0.661219361,13,"UniRef90_C0FMR1, UniRef90_A0A0M6WY68, UniRef90_A0A173WGT5, UniRef90_A0A173WIE2, UniRef90_C0FMR6, UniRef90_A0A0M6WYH4, UniRef90_A0A173WGW6, UniRef90_A0A173VXC5, UniRef90_C0FXH5",Defense response to virus,Roseburia_inulinivorans,Phage and HGT,Non-significant,1,Roseburia inulinivorans,"GO:0051607, Defense response to virus",#,,#
GO:0009291,0.002601137,0.026011371,-0.689906982,12,"UniRef90_A0A1E3UFT6, UniRef90_E7GME9, UniRef90_A0A173Y9V6, UniRef90_R9JR68, UniRef90_C0FPL3, UniRef90_A0A173S832",Unidirectional conjugation,Roseburia_inulinivorans,Phage and HGT,Non-significant,1,Roseburia inulinivorans,"GO:0009291, Unidirectional conjugation",#,,#
GO:0043571,0.010311163,0.068741088,-0.634758402,12,"UniRef90_C0FMR1, UniRef90_A0A173WGT5, UniRef90_A0A173WIE2, UniRef90_C0FMR6, UniRef90_A0A0M6WYH4, UniRef90_A0A173WGW6, UniRef90_A0A173VXC5, UniRef90_C0FXH5",Maintenance of CRISPR repeat elements,Roseburia_inulinivorans,Phage and HGT,Non-significant,1,Roseburia inulinivorans,"GO:0043571, Maintenance of CRISPR repeat elements",*,*,
GO:0009291,0.004884257,0.055354912,-0.692782327,11,"UniRef90_H1B798, UniRef90_A0A173T342, UniRef90_A0A174R6U4, UniRef90_A7VHY1, UniRef90_R9JR68, UniRef90_R0AMJ6, UniRef90_A0A173TDB5, UniRef90_A0A174H056",Unidirectional conjugation,Blautia_wexlerae,Phage and HGT,Non-significant,1,Blautia wexlerae,"GO:0009291, Unidirectional conjugation",*,*,
GO:0009291,0.002361041,0.02242989,-0.784063764,7,"UniRef90_C7GDD0, UniRef90_H1B798, UniRef90_A0A173V4Q4",Unidirectional conjugation,Roseburia_intestinalis,Phage and HGT,Non-significant,1,Roseburia intestinalis,"GO:0009291, Unidirectional conjugation",#,,#
GO:0006276,0.000437664,0.086305291,0.432477207,83,"UniRef90_B1EML7, UniRef90_A0A377AKF3, UniRef90_L3PFN5, UniRef90_A0A2S1JKA0, UniRef90_P11904, UniRef90_A0A2X1MMS6, UniRef90_A0A2X1MTM9, UniRef90_C8CGG6, UniRef90_A0A376UV57, UniRef90_P03847, UniRef90_E2QEX9, UniRef90_A0A2H4TKR6, UniRef90_A0A2S1JKB3, UniRef90_A0A2X1KS66, UniRef90_A0A078LI99, UniRef90_P20356, UniRef90_A0A2P9ELC9, UniRef90_A0A0J2DR21, UniRef90_A0A0H0RFC7, UniRef90_P11906, UniRef90_A0A0L6ZRS5, UniRef90_A0A2P1H2Z0, UniRef90_A0A0F6FGM7, UniRef90_A0A1S9K4Z8, UniRef90_A0A069X0H1, UniRef90_I2WFQ8, UniRef90_A0A2X1KV89, UniRef90_K4VUJ3, UniRef90_A0A370YBR5, UniRef90_Q52042, UniRef90_A0A2T3SUT2, UniRef90_A0A2S8DK46, UniRef90_A0A2X1NJK7",Plasmid maintenance,Escherichia_coli,Phage and HGT,T2D enriched,3,Escherichia coli,"GO:0006276, Plasmid maintenance",*,*,
GO:0009372,0.028583895,0.080554612,-0.59946367,14,"UniRef90_D6E4D4, UniRef90_D4KL83, UniRef90_A0A174CAP3, UniRef90_A0A174KEV2, UniRef90_D4KKI0, UniRef90_G2SYW7",Quorum sensing,Eubacterium_rectale,Quorum sensing,Non-significant,1,Eubacterium rectale,"GO:0009372, Quorum sensing",*,*,
GO:0000160,0.004101803,0.055354912,-0.355380095,99,"UniRef90_A0A174HR47, UniRef90_C7H3N6, UniRef90_C6JA53, UniRef90_A7VI66, UniRef90_A0A173Y9M2, UniRef90_A0A174LBJ3, UniRef90_A0A174E050, UniRef90_D4LTA1, UniRef90_R7DB07, UniRef90_D4KCK3, UniRef90_A0A174FJF4, UniRef90_A5Z504, UniRef90_A0A174DYE1, UniRef90_A0A174LCC5, UniRef90_C6JC74, UniRef90_A0A174U599, UniRef90_A0A174E2H7, UniRef90_D4L326, UniRef90_A0A174S2K7, UniRef90_A0A173X6E7, UniRef90_A0A174JRJ8, UniRef90_A0A174H8H7, UniRef90_A0A174EZS5, UniRef90_R7DC47, UniRef90_A0A174TWL5, UniRef90_D4JB67, UniRef90_C6JAS9, UniRef90_A0A174YAF1, UniRef90_B0NZ62, UniRef90_A0A174VR12, UniRef90_B0P259, UniRef90_A0A173XFY5, UniRef90_A0A174TFZ9, UniRef90_C6JBI5, UniRef90_A0A174V1G2, UniRef90_C6JBV0, UniRef90_R9MNW7, UniRef90_C6JC89, UniRef90_A0A174PBT6, UniRef90_A0A173YM71, UniRef90_A0A174TV05",Phosphorelay signal transduction system,Blautia_wexlerae,Signal transduction,Non-significant,3,Blautia wexlerae,"GO:0000160, Phosphorelay signal transduction system",*,*,
